BSSID,AP Name (from app),AP Location (from app),Notes (from app),AP Name (from AP),SSID,Seen,Manufacturer,Device,Channel width maximum (MHz),Phy speed maximum (Mbps),Phy technologies,Basic rates,Additional rates,Supported HT MCS,Supported VHT MCS,Supported HE MCS,Supported EHT MCS,SU-MIMO,MU-MIMO,Security,Capabilities,BSS Transition (802.11v),FT (802.11r) Responder,FT (802.11r) over the DS,RM (802.11k),MFP (802.11w) Required,MFP (802.11w) Capable,FTM (802.11mc) Responder,FTM (802.11mc) Initiator,MLO (802.11be) AP MLD,Frequency band,Channel width (MHz),Frequency from (MHz),Frequency to (MHz),Frequency primary (MHz),Primary channel,Channels used,rssi (dBm),Reported channel utilization (%),Reported stations
4c:a6:4d:61:1f:cd,,,,,WIFI1,1718103434791,"Cisco Systems, Inc",,80,866.7,"[""AC867"",""N144"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]","[0,1,2,3,4,5,6,7,8,9]",,,2x2,2x2,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,0xAC34,false,true,,,,,,U-NII-1,20,,,5180,36,,-82,18.4,0
4c:a6:4d:61:1f:cc,,,,,WIFI2,1718103434792,"Cisco Systems, Inc",,80,866.7,"[""AC867"",""N144"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]","[0,1,2,3,4,5,6,7,8,9]",,,2x2,2x2,WPA2/WPA3-Enterprise,[RSN-EAP-CCMP][ESS],true,0xAC34,false,true,,,,,,U-NII-1,20,,,5180,36,,-81,18.4,0
6a:3a:0e:83:39:3b,,,,,T-Mobile SKLEP,1718103434801,,,80,866.7,"[""AC867"",""N300"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]","[0,1,2,3,4,5,6,7,8,9]",,,2x2,2x2,No Security,[ESS],true,,,true,,,,,,U-NII-1,80,,,5180,36,,-70,14.9,3
62:3a:0e:83:39:3b,,,,,Devia,1718103434801,,,80,866.7,"[""AC867"",""N300"",""a54""]","[12,24]","[18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]","[0,1,2,3,4,5,6,7,8,9]",,,2x2,2x2,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,,,true,,,,,,U-NII-1,80,,,5180,36,,-69,14.9,0
00:a3:8e:be:8e:13,,,,PL-N138AP-17-12,,1718103434217,"Cisco Systems, Inc",,20,216.7,"[""N217"",""g54"",""b11""]",11,"[6,9,12,18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]",,,,3x3,,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,,,true,,,,,,2.4GHz,20,,,2462,11,,-68,71,2
48:2f:6b:1e:c0:b4,,,,,,1718103436083,Hewlett Packard Enterprise,,80,1200.9803921568628,"[""AX1201"",""AC780"",""N300"",""a54""]","[12,24]","[18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,32]","[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9,10,11]",,2x2,2x2,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,,,true,,,,,,U-NII-2C,40,,,5660,132,,-86,8.6,3
48:2f:6b:1e:c0:b3,,,,,LFXXUI,1718103436081,Hewlett Packard Enterprise,,80,1200.9803921568628,"[""AX1201"",""AC780"",""N300"",""a54""]","[12,24]","[18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,32]","[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9,10,11]",,2x2,2x2,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,,,true,,,,,,U-NII-2C,40,,,5660,132,,-85,8.6,3
48:2f:6b:1e:c0:b2,,,,,,1718103436081,Hewlett Packard Enterprise,,80,1200.9803921568628,"[""AX1201"",""AC780"",""N300"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,32]","[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9,10,11]",,2x2,2x2,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,,,,,,,,,U-NII-2C,40,,,5660,132,,-86,,
48:2f:6b:1e:c0:b7,,,,,,1718103436082,Hewlett Packard Enterprise,,80,1200.9803921568628,"[""AX1201"",""AC780"",""N300"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,32]","[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9,10,11]",,2x2,2x2,WPA2/WPA3-Enterprise,[RSN-EAP-CCMP][ESS],true,,,true,,,,,,U-NII-2C,40,,,5660,132,,-85,8.6,3
00:a3:8e:be:8e:15,,,,,Carrefour_WiFi_Spot,1718103434244,"Cisco Systems, Inc",,20,216.7,"[""N217"",""g54"",""b11""]",11,"[6,9,12,18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]",,,,3x3,,No Security,[ESS],true,,,true,,,,,,2.4GHz,20,,,2462,11,,-68,71,2
48:2f:6b:1e:c0:b6,,,,,,1718103436082,Hewlett Packard Enterprise,,80,1200.9803921568628,"[""AX1201"",""AC780"",""N300"",""a54""]","[12,24]","[18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,32]","[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9,10,11]",,2x2,2x2,WPA2/WPA3-Enterprise,[RSN-EAP-CCMP][ESS],true,,,true,,,,,,U-NII-2C,40,,,5660,132,,-86,8.6,3
00:a3:8e:be:8e:14,,,,,WLAN60,1718103434261,"Cisco Systems, Inc",,20,216.7,"[""N217"",""g54"",""b11""]",11,"[6,9,12,18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]",,,,3x3,,WPA2/WPA3-Enterprise,[RSN-EAP-CCMP][ESS],true,,,true,,,,,,2.4GHz,20,,,2462,11,,-68,71,2
48:2f:6b:1e:c0:b9,,,,,,1718103436083,Hewlett Packard Enterprise,,80,1200.9803921568628,"[""AX1201"",""AC780"",""N300"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,32]","[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9,10,11]",,2x2,2x2,WPA2/WPA3-Enterprise,[RSN-EAP-CCMP][ESS],true,,,true,,,,,,U-NII-2C,40,,,5660,132,,-85,8.6,3
00:27:e3:e0:cb:8e,,,,PL-N138AP-06-13,,1718103435355,"Cisco Systems, Inc",,80,1300,"[""AC1300"",""N217"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[0,1,2,3,4,5,6,7,8,9]",,,3x3,,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,0xAC34,true,true,,,,,,U-NII-2C,20,,,5500,100,,-77,6.7,0
00:27:e3:e0:cb:8b,,,,,WLAN60,1718103435320,"Cisco Systems, Inc",,80,1300,"[""AC1300"",""N217"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[0,1,2,3,4,5,6,7,8,9]",,,3x3,,WPA2/WPA3-Enterprise,[RSN-EAP-CCMP][ESS],true,,,true,,,,,,U-NII-2C,20,,,5500,100,,-76,6.7,0
70:ea:1a:45:e1:0c,,,,PL-N138AP-03-13,,1718103435628,"Cisco Systems, Inc",,80,1300,"[""AC1300"",""N217"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[0,1,2,3,4,5,6,7,8,9]",,,3x3,,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,,,true,,,,,,U-NII-2C,20,,,5560,112,,-87,2,0
70:ea:1a:45:e1:0e,,,,PL-N138AP-03-13,,1718103435605,"Cisco Systems, Inc",,80,1300,"[""AC1300"",""N217"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[0,1,2,3,4,5,6,7,8,9]",,,3x3,,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,0xAC34,true,true,,,,,,U-NII-2C,20,,,5560,112,,-88,2,0
62:3a:1e:83:39:3b,,,,,Devia,1718103434217,,,20,144.4,"[""N144"",""g54"",""b11""]",11,"[12,18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,2x2,,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,,,true,,,,,,2.4GHz,20,,,2462,11,,-80,13.7,1
70:ea:1a:45:e1:0a,,,,,Carrefour_WiFi_Spot,1718103435640,"Cisco Systems, Inc",,80,1300,"[""AC1300"",""N217"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[0,1,2,3,4,5,6,7,8,9]",,,3x3,,No Security,[ESS],true,,,true,,,,,,U-NII-2C,20,,,5560,112,,-87,2,0
00:1e:42:5a:b8:ec,,,,,AAA_RUT241_F8DC,1718103434244,Teltonika,,,54,"[""g54"",""b11""]","[1,2,5.5,11]","[9,18,36,54,6,12,24,48]",,,,,,,WPA2-Personal,[RSN-PSK-TKIP][ESS],true,,,,,,,,,2.4GHz,20,,,2462,11,,-75,20,0
d8:7d:7f:55:66:11,,,,,FunBox2-6611,1718103434238,Sagemcom,,20,144.4,"[""N144"",""g54"",""b11""]","[1,2,5.5,11]","[18,24,36,54,6,9,12,48]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,2x2,,WPA/WPA2-Personal,[RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS][WPS],,,,,,,,,,2.4GHz,20,,,2462,11,,-69,,
d8:7d:7f:55:66:12,,,,,FunBox2-6611,1718103434787,Sagemcom,,80,1300,"[""AC1300"",""N450"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[0,1,2,3,4,5,6,7,8,9]",,,"[""3x3"",""3x1""]",,WPA/WPA2-Personal,[RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS][WPS],,,,,,,,,,U-NII-1,80,,,5180,36,,-53,,
56:3a:0e:83:39:3b,,,,,,1718103434801,,,80,866.7,"[""AC867"",""N300"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]","[0,1,2,3,4,5,6,7,8,9]",,,2x2,2x2,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,,,,,,,,,U-NII-1,80,,,5180,36,,-69,,
00:27:e3:df:14:3f,,,,,,1718103436090,"Cisco Systems, Inc",,80,1300,"[""AC1300"",""N217"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[0,1,2,3,4,5,6,7,8,9]",,,3x3,,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,0xAC34,true,true,,,,,,U-NII-2C,20,,,5660,132,,-80,3.9,3
00:27:e3:df:14:3c,,,,PL-N138AP-05-13,,1718103436061,"Cisco Systems, Inc",,80,1300,"[""AC1300"",""N217"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[0,1,2,3,4,5,6,7,8,9]",,,3x3,,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,,,true,,,,,,U-NII-2C,20,,,5660,132,,-79,3.9,3
00:27:e3:4d:7b:8f,,,,,,1718103434786,"Cisco Systems, Inc",,80,1300,"[""AC1300"",""N450"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[0,1,2,3,4,5,6,7,8,9]",,,3x3,,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,0xAC34,true,true,,,,,,U-NII-1,40,,,5180,36,,-55,17.6,17
48:2f:6b:1f:0f:93,,,,,LFXXUI,1718103435082,Hewlett Packard Enterprise,,80,1200.9803921568628,"[""AX1201"",""AC780"",""N300"",""a54""]","[12,24]","[18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,32]","[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9,10,11]",,2x2,2x2,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,,,true,,,,,,U-NII-2A,40,,,5260,52,,-87,7.8,9
48:2f:6b:1f:0f:92,,,,,,1718103435059,Hewlett Packard Enterprise,,80,1200.9803921568628,"[""AX1201"",""AC780"",""N300"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,32]","[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9,10,11]",,2x2,2x2,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,,,,,,,,,U-NII-2A,40,,,5260,52,,-87,,
00:27:e3:4d:7b:8b,,,,,WLAN60,1718103434798,"Cisco Systems, Inc",,80,1300,"[""AC1300"",""N450"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[0,1,2,3,4,5,6,7,8,9]",,,3x3,,WPA2/WPA3-Enterprise,[RSN-EAP-CCMP][ESS],true,,,true,,,,,,U-NII-1,40,,,5180,36,,-54,17.6,17
48:2f:6b:1f:0f:97,,,,,,1718103435059,Hewlett Packard Enterprise,,80,1200.9803921568628,"[""AX1201"",""AC780"",""N300"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,32]","[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9,10,11]",,2x2,2x2,WPA2/WPA3-Enterprise,[RSN-EAP-CCMP][ESS],true,,,true,,,,,,U-NII-2A,40,,,5260,52,,-86,7.8,9
48:2f:6b:1f:0f:96,,,,,,1718103435059,Hewlett Packard Enterprise,,80,1200.9803921568628,"[""AX1201"",""AC780"",""N300"",""a54""]","[12,24]","[18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,32]","[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9,10,11]",,2x2,2x2,WPA2/WPA3-Enterprise,[RSN-EAP-CCMP][ESS],true,,,true,,,,,,U-NII-2A,40,,,5260,52,,-89,7.8,9
48:2f:6b:1f:0f:95,,,,,,1718103435060,Hewlett Packard Enterprise,,80,1200.9803921568628,"[""AX1201"",""AC780"",""N300"",""a54""]","[12,24]","[18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,32]","[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9,10,11]",,2x2,2x2,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,,,true,,,,,,U-NII-2A,40,,,5260,52,,-88,7.8,9
48:2f:6b:1f:0f:94,,,,,,1718103435059,Hewlett Packard Enterprise,,80,1200.9803921568628,"[""AX1201"",""AC780"",""N300"",""a54""]","[12,24]","[18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,32]","[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9,10,11]",,2x2,2x2,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,,,true,,,,,,U-NII-2A,40,,,5260,52,,-88,7.8,9
48:2f:6b:1f:0f:99,,,,,,1718103435060,Hewlett Packard Enterprise,,80,1200.9803921568628,"[""AX1201"",""AC780"",""N300"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,32]","[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9,10,11]",,2x2,2x2,WPA2/WPA3-Enterprise,[RSN-EAP-CCMP][ESS],true,,,true,,,,,,U-NII-2A,40,,,5260,52,,-87,7.8,9
48:2f:6b:1f:0f:98,,,,,,1718103435060,Hewlett Packard Enterprise,,80,1200.9803921568628,"[""AX1201"",""AC780"",""N300"",""a54""]","[12,24]","[18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,32]","[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9,10,11]",,2x2,2x2,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,,,true,,,,,,U-NII-2A,40,,,5260,52,,-87,7.8,9
cc:2d:e0:79:53:64,,,,CC2DE0795364,Salon TELL,1718103434046,Routerboard.com,,40,300,"[""N300"",""g54""]",6,"[9,12,18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,2x2,,WPA/WPA2-Personal,[RSN-PSK-CCMP][WPA-PSK-CCMP][ESS][WPS],,,,,,,,,,2.4GHz,40,,,2452,9,,-69,,
00:27:e3:df:14:3a,,,,,Carrefour_WiFi_Spot,1718103436072,"Cisco Systems, Inc",,80,1300,"[""AC1300"",""N217"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[0,1,2,3,4,5,6,7,8,9]",,,3x3,,No Security,[ESS],true,,,true,,,,,,U-NII-2C,20,,,5660,132,,-79,3.9,3
34:8a:12:56:f3:b2,,,,,,1718103435667,Hewlett Packard Enterprise,,80,1200.9803921568628,"[""AX1201"",""AC780"",""N300"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,32]","[0,1,2,3,4,5,6,7,8,9]","[0,1,2,3,4,5,6,7,8,9,10,11]",,2x2,2x2,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,,,,,,,,,U-NII-2C,40,,,5580,116,,-85,,
00:a3:8e:be:8e:1b,,,,,WLAN60,1718103435183,"Cisco Systems, Inc",,80,1300,"[""AC1300"",""N450"",""a54""]","[6,12,24]","[9,18,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","[0,1,2,3,4,5,6,7,8,9]",,,3x3,,WPA2/WPA3-Enterprise,[RSN-EAP-CCMP][ESS],true,,,true,,,,,,U-NII-2A,40,,,5300,60,,-72,2,6
4c:a6:4d:61:cb:63,,,,,WIFI2,1718103433424,"Cisco Systems, Inc",,20,144.4,"[""N144"",""g54""]",12,"[18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",,,,2x2,,WPA2/WPA3-Enterprise,[RSN-EAP-CCMP][ESS],true,0xAC34,false,true,,,,,,2.4GHz,20,,,2412,1,,-75,48.2,1
70:ea:1a:45:be:f0,,,,,,1718103433792,"Cisco Systems, Inc",,20,216.7,"[""N217"",""g54"",""b11""]",11,"[6,9,12,18,24,36,48,54]","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]",,,,3x3,,WPA2-Personal,[RSN-PSK-CCMP][ESS],true,0xAC34,true,true,,,,,,2.4GHz,20,,,2437,6,,-69,44.3,6
